Output Areas Code,Output Areas,Distance travelled to work (11 categories) Code,Distance travelled to work (11 categories),Observation
E00056779,E00056779,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",17
E00056780,E00056780,-8,Does not apply,107
E00056780,E00056780,1,Less than 2km,2
E00056780,E00056780,2,2km to less than 5km,3
E00056780,E00056780,3,5km to less than 10km,9
E00056780,E00056780,4,10km to less than 20km,10
E00056780,E00056780,5,20km to less than 30km,4
E00056780,E00056780,6,30km to less than 40km,1
E00056780,E00056780,7,40km to less than 60km,2
E00056780,E00056780,8,60km and over,0
E00056780,E00056780,9,Works mainly from home,35
E00056780,E00056780,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",4
E00056781,E00056781,-8,Does not apply,161
E00056781,E00056781,1,Less than 2km,17
E00056781,E00056781,2,2km to less than 5km,15
E00056781,E00056781,3,5km to less than 10km,14
E00056781,E00056781,4,10km to less than 20km,22
E00056781,E00056781,5,20km to less than 30km,3
E00056781,E00056781,6,30km to less than 40km,0
E00056781,E00056781,7,40km to less than 60km,0
E00056781,E00056781,8,60km and over,1
E00056781,E00056781,9,Works mainly from home,66
E00056781,E00056781,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",20
E00056782,E00056782,-8,Does not apply,176
E00056782,E00056782,1,Less than 2km,10
E00056782,E00056782,2,2km to less than 5km,6
E00056782,E00056782,3,5km to less than 10km,15
E00056782,E00056782,4,10km to less than 20km,19
E00056782,E00056782,5,20km to less than 30km,0
E00056782,E00056782,6,30km to less than 40km,0
E00056782,E00056782,7,40km to less than 60km,3
E00056782,E00056782,8,60km and over,2
E00056782,E00056782,9,Works mainly from home,71
E00056782,E00056782,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",26
E00056783,E00056783,-8,Does not apply,129
E00056783,E00056783,1,Less than 2km,9
E00056783,E00056783,2,2km to less than 5km,8
E00056783,E00056783,3,5km to less than 10km,21
E00056783,E00056783,4,10km to less than 20km,32
E00056783,E00056783,5,20km to less than 30km,2
E00056783,E00056783,6,30km to less than 40km,0
E00056783,E00056783,7,40km to less than 60km,2
E00056783,E00056783,8,60km and over,0
E00056783,E00056783,9,Works mainly from home,72
E00056783,E00056783,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",13
E00056784,E00056784,-8,Does not apply,104
E00056784,E00056784,1,Less than 2km,12
E00056784,E00056784,2,2km to less than 5km,9
E00056784,E00056784,3,5km to less than 10km,9
E00056784,E00056784,4,10km to less than 20km,26
E00056784,E00056784,5,20km to less than 30km,2
E00056784,E00056784,6,30km to less than 40km,2
E00056784,E00056784,7,40km to less than 60km,0
E00056784,E00056784,8,60km and over,2
E00056784,E00056784,9,Works mainly from home,71
E00056784,E00056784,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",12
E00056787,E00056787,-8,Does not apply,110
E00056787,E00056787,1,Less than 2km,16
E00056787,E00056787,2,2km to less than 5km,13
E00056787,E00056787,3,5km to less than 10km,2
E00056787,E00056787,4,10km to less than 20km,21
E00056787,E00056787,5,20km to less than 30km,1
E00056787,E00056787,6,30km to less than 40km,1
E00056787,E00056787,7,40km to less than 60km,0
E00056787,E00056787,8,60km and over,3
E00056787,E00056787,9,Works mainly from home,28
E00056787,E00056787,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",15
E00056788,E00056788,-8,Does not apply,185
E00056788,E00056788,1,Less than 2km,39
E00056788,E00056788,2,2km to less than 5km,13
E00056788,E00056788,3,5km to less than 10km,14
E00056788,E00056788,4,10km to less than 20km,13
E00056788,E00056788,5,20km to less than 30km,2
E00056788,E00056788,6,30km to less than 40km,0
E00056788,E00056788,7,40km to less than 60km,1
E00056788,E00056788,8,60km and over,0
E00056788,E00056788,9,Works mainly from home,29
E00056788,E00056788,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",22
E00056789,E00056789,-8,Does not apply,235
E00056789,E00056789,1,Less than 2km,18
E00056789,E00056789,2,2km to less than 5km,14
